Index,Name,PosX,PosY,Width,Height
1,Question 1,9.5652,94.7826,577.3913,3243.4783
-1,,5.9176,833.9974,601.6274,31.5608
-1,,276.1568,803.0942,37.4784,34.8484
-1,,5.9176,1655.2352,587.8195,76.9294
-1,,2.6301,2523.8142,589.1345,174.8993
2,Question 2,12,3450.9121,577.1345,1569.3542
-2,,290,4246.2663,330,791
-2,,5,4241.2663,606,88
3,Question 4,6,4749.2663,589,1218
-3,,284,5172.2663,313,808
-3,,1,4728.2663,300.7013,452.9792
-3,,-10,5150.0905,623,39
4,Question 5,294,5180.0905,303,816
5,Question 3,294.2638,4327.4868,296.4039,408.7591
6,Question 6,6.4203,6036.2205,287.8435,796.1172
7,Question 7,300.6841,6034.0804,295.3338,806.8177
